127.0.0.1 | 2026-04-20 21:31:53 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:31:53 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:31:53 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:31:53 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:31:53 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:31:53 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:31:53 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:36:13 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:36:13 | GET /test.jpg | 200
127.0.0.1 | 2026-04-20 21:36:13 | HEAD /index.html | 200
127.0.0.1 | 2026-04-20 21:36:13 | GET /this_file_does_not_exist.html | 404
127.0.0.1 | 2026-04-20 21:36:13 | GET /../server.py | 403
127.0.0.1 | 2026-04-20 21:36:13 | UNKNOWN UNKNOWN | 400
127.0.0.1 | 2026-04-20 21:36:13 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:36:13 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:36:13 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:36:13 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:36:13 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:36:13 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:36:13 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:36:13 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:36:13 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:40:06 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:40:06 | GET /test.jpg | 200
127.0.0.1 | 2026-04-20 21:40:06 | HEAD /index.html | 200
127.0.0.1 | 2026-04-20 21:40:06 | GET /this_file_does_not_exist.html | 404
127.0.0.1 | 2026-04-20 21:40:06 | GET /../server.py | 403
127.0.0.1 | 2026-04-20 21:40:06 | UNKNOWN UNKNOWN | 400
127.0.0.1 | 2026-04-20 21:40:06 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:40:06 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:40:06 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:40:06 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:40:06 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:40:06 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:40:06 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:40:06 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:42:26 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:42:26 | GET /test.jpg | 200
127.0.0.1 | 2026-04-20 21:42:26 | HEAD /index.html | 200
127.0.0.1 | 2026-04-20 21:42:26 | GET /this_file_does_not_exist.html | 404
127.0.0.1 | 2026-04-20 21:42:27 | GET /../server.py | 403
127.0.0.1 | 2026-04-20 21:42:27 | UNKNOWN UNKNOWN | 400
127.0.0.1 | 2026-04-20 21:42:27 | GET /index.html | 200
